epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,907.905,1.33567,1.91027,8.97762,1.08973,0.30836,0.25275,0.16511,0.05258,0.31541,0.2515,0.17721,0.04523,0.54948,0.75848,6.82468,0.48358,0.000555416,0.000555416,0.000555416
2,1772.52,1.35576,1.75432,2.8721,1.09605,0.50444,0.32844,0.31354,0.09812,0.47869,0.30357,0.28223,0.07496,0.54779,0.6567,1.93692,0.47815,0.00108908,0.00108908,0.00108908
3,2611.28,1.24855,1.52923,2.02648,0.99009,0.46307,0.39756,0.39065,0.16156,0.47161,0.3815,0.39166,0.13691,0.46961,0.60364,1.3376,0.42106,0.00160075,0.00160075,0.00160075
4,3428.32,1.24024,1.55955,1.88338,0.98241,0.26929,0.43004,0.35329,0.14079,0.30809,0.42629,0.37633,0.13419,0.50352,0.64144,1.15283,0.44646,0.00156798,0.00156798,0.00156798
